Parameter	Branch	Posterior Mean	Posterior Variance	a_post	b_post
R/theta	NODE_476	0.691472	0.00910991	52.485	75.9033
1/delta	NODE_476	0.254865	0.00123761	52.485	205.933
nu	NODE_476	0.699291	0.000718994	680.127	972.595
M	NODE_476	0.440015	0.00146817	131.873	299.702
R/theta	NODE_477	1.11299	0.0376274	32.9212	29.5791
1/delta	NODE_477	0.157475	0.000753268	32.9212	209.056
nu	NODE_477	0.865256	0.00087582	854.82	987.939
M	NODE_477	0.130921	0.000437473	39.18	299.266
R/theta	NODE_478	0.931261	0.028915	29.993	32.2068
1/delta	NODE_478	0.526177	0.0092309	29.993	57.0017
nu	NODE_478	1.00311	0.00416377	241.663	240.914
M	NODE_478	0.138334	0.000431615	44.3367	320.504
R/theta	NODE_479	0.0660002	6.6033e-05	65.9674	999.502
1/delta	NODE_479	0.0382829	2.22167e-05	65.9673	1723.15
nu	NODE_479	0.0141249	1.67619e-06	119.027	8426.77
M	NODE_479	24.6078	0.280348	2159.97	87.7759
R/theta	NODE_480	1.12054	0.0498243	25.2008	22.4898
1/delta	NODE_480	1.30358	0.0674318	25.2008	19.3319
nu	NODE_480	0.735522	0.0131703	41.0766	55.8468
M	NODE_480	0.0765073	0.000234854	24.9234	325.765
R/theta	NODE_481	1.41259	0.0540664	36.9067	26.127
1/delta	NODE_481	0.594163	0.00956544	36.9067	62.1155
nu	NODE_481	0.540523	0.00203175	143.8	266.038
M	NODE_481	0.100692	0.000314871	32.2004	319.79
R/theta	NODE_482	1.03545	0.0149354	71.7867	69.3288
1/delta	NODE_482	0.241963	0.000815552	71.7868	296.685
nu	NODE_482	1.15697	0.000815655	1641.1	1418.45
M	NODE_482	0.414245	0.00144323	118.899	287.026
R/theta	NODE_483	0.0843891	6.2863e-05	113.286	1342.43
1/delta	NODE_483	0.0705627	4.41823e-05	112.694	1597.08
nu	NODE_483	0.0369597	4.73401e-06	288.555	7807.28
M	NODE_483	27.0186	0.256372	2847.45	105.388
R/theta	NODE_484	1.41039	0.0309084	64.3576	45.6312
1/delta	NODE_484	0.16904	0.000443995	64.3577	380.725
nu	NODE_484	1.08363	0.00059172	1984.48	1831.33
M	NODE_484	0.259792	0.00094371	71.5174	275.288
R/theta	NODE_485	1.83051	0.0299971	111.703	61.0229
1/delta	NODE_485	0.373685	0.00125011	111.702	298.921
nu	NODE_485	1.04483	0.000730828	1493.74	1429.65
M	NODE_485	0.356654	0.00124396	102.255	286.707
R/theta	NODE_486	2.09263	0.0491316	89.1299	42.5923
1/delta	NODE_486	0.591296	0.00392271	89.13	150.737
nu	NODE_486	1.012	0.00144278	709.839	701.423
M	NODE_486	0.211967	0.000689523	65.1611	307.411
R/theta	NODE_487	0.170347	0.000157681	184.029	1080.32
1/delta	NODE_487	0.104903	5.98062e-05	184.004	1754.04
nu	NODE_487	0.0224907	2.62176e-06	192.935	8578.47
M	NODE_487	28.181	0.337647	2352.06	83.4628
R/theta	NODE_488	1.64525	0.0303828	89.0918	54.1508
1/delta	NODE_488	0.205066	0.000470653	89.348	435.704
nu	NODE_488	0.680611	0.000323873	1430.29	2101.48
M	NODE_488	0.331506	0.00123878	88.7134	267.607
R/theta	NODE_489	0.0520379	1.02899e-05	263.166	5057.19
1/delta	NODE_489	0.298593	0.000338807	263.153	881.309
nu	NODE_489	0.0866288	2.01902e-05	371.693	4290.64
M	NODE_489	49.9703	0.24332	10262.3	205.368
R/theta	NODE_490	0.950344	0.0267107	33.8125	35.5792
1/delta	NODE_490	1.45864	0.0629245	33.8125	23.1808
nu	NODE_490	1.16317	0.0155596	86.9542	74.756
M	NODE_490	0.156954	0.000482597	51.0458	325.228
R/theta	NODE_491	0.808926	0.0113499	57.6535	71.2717
1/delta	NODE_491	0.828874	0.0119166	57.6535	69.5564
nu	NODE_491	1.33396	0.00440841	403.647	302.594
M	NODE_491	0.383851	0.00120424	122.353	318.75
R/theta	NODE_492	1.95626	0.0601175	63.6582	32.5407
1/delta	NODE_492	0.942135	0.0139435	63.6582	67.568
nu	NODE_492	0.932262	0.00318368	272.99	292.825
M	NODE_492	0.141085	0.000442233	45.01	319.028
R/theta	NODE_493	0.591533	0.0206908	16.9115	28.5893
1/delta	NODE_493	1.22877	0.0892811	16.9115	13.7629
nu	NODE_493	1.15519	0.0405516	32.908	28.487
M	NODE_493	0.11359	0.000347855	37.092	326.543
R/theta	NODE_494	1.25545	0.0546597	28.8359	22.9685
1/delta	NODE_494	1.11684	0.0432565	28.8359	25.8191
nu	NODE_494	0.936175	0.0106726	82.119	87.7176
M	NODE_494	0.0796683	0.000245239	25.881	324.859
R/theta	NODE_495	1.80402	0.0231871	140.358	77.8027
1/delta	NODE_495	0.604469	0.00260322	140.358	232.2
nu	NODE_495	1.14853	0.00104256	1265.27	1101.64
M	NODE_495	0.458504	0.00154883	135.732	296.033
R/theta	NODE_496	1.58756	0.0174874	144.123	90.7827
1/delta	NODE_496	0.490565	0.00166978	144.123	293.79
nu	NODE_496	1.0868	0.00077395	1526.11	1404.23
M	NODE_496	0.563218	0.00195949	161.886	287.43
R/theta	NODE_497	1.59064	0.0360641	70.1563	44.1058
1/delta	NODE_497	0.466754	0.00310535	70.1563	150.307
nu	NODE_497	1.0522	0.00150462	735.813	699.31
M	NODE_497	0.221766	0.000721256	68.1866	307.471
R/theta	NODE_498	0.732843	0.0104807	51.2425	69.9229
1/delta	NODE_498	0.334874	0.00218843	51.2425	153.02
nu	NODE_498	0.582611	0.000817537	415.193	712.642
M	NODE_498	0.390133	0.00127041	119.807	307.092
R/theta	NODE_499	1.03919	0.0598078	18.0565	17.3755
1/delta	NODE_499	1.23694	0.084735	18.0565	14.5977
nu	NODE_499	0.806525	0.024749	26.2832	32.5882
M	NODE_499	0.0450847	0.000138116	14.7168	326.427
R/theta	NODE_500	1.07315	0.0359771	32.0105	29.8286
1/delta	NODE_500	0.872174	0.0237637	32.0105	36.7019
nu	NODE_500	0.987527	0.00699463	139.423	141.184
M	NODE_500	0.122402	0.000378555	39.5773	323.339
R/theta	NODE_501	0.970645	0.0438365	21.4924	22.1424
1/delta	NODE_501	1.22692	0.0700405	21.4924	17.5173
nu	NODE_501	0.826101	0.0176021	38.7705	46.9319
M	NODE_501	0.0743193	0.00022796	24.2295	326.019
R/theta	NODE_502	1.27244	0.0199072	81.3328	63.9187
1/delta	NODE_502	1.02538	0.0129271	81.3328	79.3198
nu	NODE_502	1.34446	0.00383518	471.315	350.561
M	NODE_502	0.339286	0.001069	107.685	317.387
R/theta	NODE_503	0.598717	0.0310673	11.5382	19.2716
1/delta	NODE_503	1.10612	0.106039	11.5382	10.4313
nu	NODE_503	0.866481	0.0714983	10.5008	12.1189
M	NODE_503	0.056571	0.000172995	18.4992	327.009
R/theta	NODE_504	1.50337	0.0503688	44.8715	29.8473
1/delta	NODE_504	1.2678	0.0358205	44.8715	35.3932
nu	NODE_504	0.863693	0.0064094	116.386	134.754
M	NODE_504	0.122446	0.000378477	39.6138	323.522
R/theta	NODE_505	1.41201	0.0523912	38.0553	26.9512
1/delta	NODE_505	1.51747	0.0605101	38.0553	25.078
nu	NODE_505	0.75135	0.00893645	63.1713	84.077
M	NODE_505	0.1041	0.000320345	33.8287	324.963
R/theta	NODE_506	1.16965	0.0338301	40.4401	34.5744
1/delta	NODE_506	1.5768	0.0614813	40.4401	25.6469
nu	NODE_506	0.908901	0.0104626	78.9577	86.8716
M	NODE_506	0.150954	0.000464639	49.0423	324.883
R/theta	NODE_507	2.09774	0.0698746	62.977	30.0214
1/delta	NODE_507	1.21105	0.0232885	62.977	52.0021
nu	NODE_507	0.980021	0.00452976	212.029	216.352
M	NODE_507	0.124441	0.000387422	39.9707	321.202
R/theta	NODE_508	1.70914	0.072695	40.1838	23.5111
1/delta	NODE_508	1.48198	0.0546554	40.1838	27.115
nu	NODE_508	1.1164	0.011866	105.036	94.0841
M	NODE_508	0.0830491	0.000255789	26.9643	324.678
R/theta	NODE_509	1.67	0.0676554	41.2224	24.684
1/delta	NODE_509	0.904582	0.0198501	41.2224	45.5707
nu	NODE_509	0.972574	0.00526414	179.688	184.755
M	NODE_509	0.0910039	0.000282533	29.3124	322.1
